ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Computational Thinking,,FOUND
2,Abstraction,1,FOUND
3,Algorithm Design,1,FOUND
4,Decomposition,1,FOUND
5,Pattern Recognition,1,FOUND
6,Problem Solving Strategy,1|2|3|4|5,FOUND
7,Debugging Fundamentals,6,FOUND
8,Testing and Iteration,7,FOUND
9,Physical Computing,1,FOUND
10,Experiential Learning,1|9,FOUND
11,Thonny IDE,19,ENV
12,Thonny Installation,11,ENV
13,REPL Interactive Shell,11|12,ENV
14,Thonny File Upload,12|13,ENV
15,Syntax Highlighting,11,ENV
16,UF2 Firmware File,56,ENV
17,BOOTSEL Button,16|56,ENV
18,USB Cable Connection,55,ENV
19,MicroPython Overview,1|9|55,PROG
20,Python Syntax Basics,19,PROG
21,Variables and Assignment,20,PROG
22,Integer Data Type,21,PROG
23,Float Data Type,21,PROG
24,String Data Type,21,PROG
25,Boolean Data Type,21,PROG
26,Arithmetic Operators,21|22,PROG
27,Comparison Operators,21|22,PROG
28,Logical Operators,25|27,PROG
29,If Statement,25|27|28,PROG
30,Elif and Else Clauses,29,PROG
31,For Loop,21|22,PROG
32,While Loop,21|27,PROG
33,Nested Loops,31|32,PROG
34,Function Definition,21|29|31|32,PROG
35,Function Parameters,34,PROG
36,Return Values,34|35,PROG
37,Scope and Local Variables,34,PROG
38,Global Variables,21|34,PROG
39,Exception Handling,34,PROG
40,Try Except Finally,39,PROG
41,KeyboardInterrupt Handling,40,PROG
42,Importing Modules,20,PROG
43,Built-in Libraries,42,PROG
44,Lists,21,PROG
45,List Indexing,44,PROG
46,List Iteration,44|31,PROG
47,Tuples,44,PROG
48,Dictionaries,44,PROG
49,String Manipulation,24,PROG
50,Formatted Strings,24|21,PROG
51,Comments and Code Style,20,PROG
52,Modular Programming,34|42,PROG
53,Reusable Functions,34|35|36,PROG
54,Import Config Pattern,52|42,PROG
55,Microcontroller Overview,9,HW
56,Raspberry Pi Pico,55,HW
57,RP2040 Chip,56,HW
58,Raspberry Pi Pico W,56,HW
59,Cytron Maker Pi RP2040,56|57,HW
60,GPIO Pin Basics,59,HW
61,GPIO Pin Numbering,60,HW
62,Digital Input Pin,60|61,HW
63,Digital Output Pin,60|61,HW
64,Flash Memory,56,HW
65,Pinout Diagram,60|61,HW
66,Grove Connectors,59,HW
67,Dupont Connectors,73,HW
68,Castellated Edge PCB,56,HW
69,Voltage and Current,,ELEC
70,Basic Circuits,69,ELEC
71,Resistors,69|70,ELEC
72,Transistors,69|70|71,ELEC
73,Breadboard Layout,70,ELEC
74,Smart Car Chassis,,ELEC
75,AA Batteries,69,ELEC
76,Battery Pack,75,ELEC
77,Power Management,69|76,ELEC
78,LiPo Battery,75,ELEC
79,Analog vs Digital Signals,69,ELEC
80,ADC Analog Digital Converter,79|62,ELEC
81,DC Motor Overview,69|70,MOTOR
82,Motor Terminals,81,MOTOR
83,Motor Direction Control,81|82,MOTOR
84,Motor Forward Motion,83,MOTOR
85,Motor Reverse Motion,83,MOTOR
86,Motor Stop,84|85,MOTOR
87,H-Bridge Circuit,83|72,MOTOR
88,H-Bridge Switch States,87,MOTOR
89,DPDT Switch,87,MOTOR
90,Motor Driver IC,87|59,MOTOR
91,Pulse Width Modulation,60|79,MOTOR
92,PWM Duty Cycle,91,MOTOR
93,PWM Frequency,91|92,MOTOR
94,16-Bit Duty Cycle Values,92,MOTOR
95,Motor Speed Control,91|83,MOTOR
96,PWM Motor Control Code,95|34|90,MOTOR
97,Left Motor Control,96,MOTOR
