ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Computational Thinking,,1
2,Algorithm Basics,1,1
3,Decompose Problems,1,1
4,Pattern Matching,1,1
5,Abstraction,1,1
6,Robot Learning Fun,1,1
7,Low-Cost Robots,6,1
8,Physical Computing,7,1
9,Sensors Overview,8,5
10,Motors Overview,8,4
11,Displays Overview,8,6
12,Controllers Overview,8,3
13,Cytron RP2040 Board,12,3
14,DC Motors,10|13,4
15,Time of Flight Sensor,9|13,5
16,OLED Display,11|13,6
17,MicroPython Intro,1,2
18,Thonny IDE,17,2
19,MicroPython Syntax,17,2
20,MicroPython Loops,19,2
21,MicroPython Conditionals,19,2
22,MicroPython Functions,19,2
23,Importing Libraries,19,2
24,Blink LED Lab,13|17|18,2
25,NeoPixel Lab,24,2
26,Change NeoPixel Color,25,2
27,Move LED Pixels,25,2
28,Play Sound,13|17,2
29,Drive Motor Forward,14|17,4
30,Drive Motor Reverse,29,4
31,I2C Bus Intro,13|17,7
32,Read Dist Sensor,15|31,5
33,SPI Bus Intro,13|17,7
34,OLED Init,16|33,6
35,Draw Text,34,6
36,Draw Line,34,6
37,Draw Circle,34,6
38,Draw Polygon,34,6
39,Chart Dist Data,32|34,6
40,Collision Avoid,32|29,5
41,Adjust Coll Param,40,5
42,Draw Robot Face,35|36|37|38,6
43,User Project Intro,1,10
44,Add Sensors,9|43,5
45,Breadboard Basics,13|43,8
46,Add Displays,11|43,6
47,Using Generative AI to Code,1,11
48,Review Comp Think,1,1
49,Robot Assembly,7|13,8
50,Robo Wiring,49,8
51,Power Mgmt,49,8
52,Maker Pi Pins,13,3
53,Motor Driver Chip,14|52,4
54,Tof Wiring,15|50,5
55,Oled Wiring,16|50,6
56,Led Blink Code,24,2
57,Led On/Off,24,2
58,Led Timing,24,2
59,NeoPixel Set Color,26,2
60,NeoPixel Strip Idx,27,2
61,NeoPixel Animate,59|60,2
62,Play Tone Freq,28,2
63,Play Melody,62,2
64,Fwd Motor Code,29,4
65,Rev Motor Code,30,4
66,Stop Motor Code,29|30,4
67,I2C Address,31,7
68,I2C Read,31,7
69,I2C Write,31,7
70,Distance Sensor Read,32,5
71,Distance Thresholds,70,5
72,SPI Concept,33,7
73,Spi Data,33,7
74,OLED Lib Use,34,6
75,Set Oled Pixel,34,6
76,Draw Shapes,35|36|37|38,6
77,Draw Charts,39,6
78,Dist Data Array,39,5
79,Coll Avoid Logic,40,5
80,Set Coll Limit,41,5
81,Face Pixels,42,6
82,Face Animate,81,6
83,Custom Sensors,44,5
84,Breadboarding,45,8
85,OLED Wiring,50|45,6
86,2nd Display,46,6
87,Basic Ai Logic,47,11
88,If-Else Refine,21,2
89,While Loops,20,2
90,For Loops,20,2
91,Func Parameters,22,2
92,Func Returns,22,2
93,Error Handle,17,2
94,Debug Print,19,9
95,Debug LED,24,9
96,Debug Sound,28,9
97,Data Types,17,2
98,Lists,97,2
99,Dictionaries,97,2
100,Tuples,97,2
101,String Ops,97,2
102,Math Ops,17,2
103,Comp Ops,17,2
104,Logic Ops,17,2
105,Servo Ctrl,14,4
106,PWM Signals,52,4
107,Motor Calibrate,14|105,4
108,Distance Calibrate,32,5
109,Sensor Noise,32,5
110,Data Smoothing,39|98,9
111,Data Logging,17|23,9
112,Memory Mgmt,17,2
113,File Save,111,2
114,Import Modules,23,2
115,Time Module,23,2
116,Utime Sleep,115,2
117,Ufunctools,23,2
118,Random Numbers,23,2
119,Pin Config,13,3
120,Pull-Ups,119,3
121,GPIO Read,119,3
122,GPIO Write,119,3
123,Encoders,14,4
124,Gear Ratios,14,4
125,Battery Life,51,8
126,Usb Power,51,8
127,Project Design,43,10
128,Project Planning,127,10
129,Idea Generation,43,10
130,Proto Build,127|45,10
131,Test Cycles,130,10
132,Refine Code,19|131,10
133,Refine Mech,131,10
134,Share Results,43,10
135,Doc Code,19,10
136,Comment Style,19,2
137,Version Ctrl,43|17,10
138,Teamwork,43,10
139,Problem Solve,1,1
140,Bug Fix,132,9
141,Feedback Loops,139,1
142,Eval Success,139,10
143,Scaling Up,43|78,10
144,Future Sensors,83,11
145,Oled Anim,42|82,6
146,Motor Patterns,107,4
147,Dist Mapping,78,5
148,Ai Classify,87,11
149,Final Review,48,10
150,Celebrate Learn,149,10
